timestamp,frame_number,preprocess_ms,inference_ms,postprocess_ms,fps,objects_detected,alert_active
1773061515.329,1,11.8,313.9,4.1,0.0,0,False
1773061517.807,2,2.6,110.6,0.3,0.4,0,False
1773061517.993,3,2.8,109.2,0.2,0.8,0,False
1773061518.135,4,2.0,107.1,0.2,1.1,0,False
1773061518.266,5,1.4,103.4,0.2,1.4,0,False
1773061518.385,6,0.8,96.2,0.3,1.6,0,False
1773061518.650,7,0.8,79.1,0.2,1.8,0,False
1773061518.795,8,0.7,102.1,0.2,2.0,0,False
1773061518.929,9,2.5,110.0,0.3,2.2,0,False
1773061519.043,10,1.1,94.0,0.2,2.4,0,False
1773061519.172,11,1.3,109.5,0.2,2.6,0,False
1773061519.308,12,1.2,114.8,0.2,2.8,0,False
1773061519.430,13,1.3,101.5,0.2,2.9,0,False
1773061519.553,14,2.4,99.9,0.2,3.1,0,False
1773061519.660,15,1.2,87.3,0.2,3.2,0,False
1773061519.776,16,1.1,95.0,0.2,3.4,0,False
1773061519.885,17,1.3,87.1,0.3,3.5,0,False
1773061520.022,18,1.1,116.4,0.3,3.6,0,False
1773061520.169,19,1.3,123.8,0.3,3.7,0,False
1773061520.282,20,2.1,87.9,0.3,3.8,0,False
1773061520.402,21,1.2,98.7,0.2,3.9,0,False
1773061520.656,22,0.8,81.5,0.2,7.0,0,False
1773061520.805,23,0.8,103.2,0.2,7.1,0,False
1773061520.928,24,0.8,95.5,0.2,7.2,0,False
1773061521.050,25,2.0,100.8,0.2,7.2,0,False
1773061521.211,26,1.0,142.3,0.2,7.1,0,False
1773061521.334,27,2.2,99.8,0.2,7.5,0,False
1773061521.470,28,1.2,117.0,0.2,7.5,0,False
1773061521.588,29,2.5,93.2,0.2,7.5,0,False
1773061521.703,30,1.2,92.6,0.2,7.5,0,False
1773061521.821,31,1.6,94.8,0.2,7.5,0,False
1773061521.939,32,1.2,96.1,0.2,7.6,0,False
1773061522.078,33,2.0,113.7,0.2,7.6,0,False
1773061522.201,34,1.1,93.6,0.2,7.6,0,False
1773061522.316,35,1.2,88.1,0.2,7.5,0,False
1773061522.425,36,1.2,85.1,0.2,7.5,0,False
1773061522.697,37,0.8,89.1,0.2,7.1,0,False
1773061522.827,38,1.9,95.9,0.2,7.1,0,False
1773061522.959,39,1.2,110.8,0.3,7.2,0,False
1773061523.076,40,1.2,95.9,0.2,7.2,0,False
1773061523.194,41,1.2,97.2,0.2,7.2,0,False
1773061523.311,42,1.3,94.8,0.2,7.5,0,False
1773061523.424,43,1.2,95.4,0.2,7.6,0,False
1773061523.546,44,2.5,102.4,0.2,7.6,0,False
1773061523.661,45,1.1,97.2,0.2,7.7,0,False
1773061523.776,46,1.7,95.6,0.2,7.8,0,False
1773061523.891,47,1.3,94.3,0.2,7.8,0,False
1773061524.001,48,1.3,91.1,0.2,7.9,0,False
1773061524.110,49,1.2,89.2,0.2,7.9,0,False
1773061524.218,50,1.3,89.6,0.2,8.0,0,False
1773061524.322,51,2.7,84.2,0.2,8.0,0,False
1773061524.426,52,1.3,86.3,0.2,8.0,0,False
1773061524.659,53,0.9,84.4,0.3,7.7,0,False
1773061524.783,54,1.9,104.6,0.2,7.7,0,False
1773061524.897,55,1.2,94.1,0.2,7.7,0,False
1773061525.006,56,1.2,90.4,0.2,7.7,0,False
1773061525.116,57,1.2,91.1,0.3,8.3,0,False
1773061525.244,58,1.3,106.3,0.2,8.3,0,False
1773061525.355,59,1.3,93.5,0.2,8.3,0,False
1773061525.466,60,1.3,92.3,0.2,8.4,0,False
1773061525.597,61,1.3,111.6,0.2,8.3,0,False
1773061525.734,62,1.2,116.8,0.3,8.3,0,False
